測站名稱,測站ID,縣市,鄉鎮,高度(m),緯度(WGS84),經度(WGS84),觀測時間,天氣狀況,氣溫(℃),相對濕度(%),氣壓(hPa),降雨量(mm),風速(m/s),風向(度),今日最高溫(℃),最高溫時間,今日最低溫(℃),最低溫時間
四林格山,C0R750,屏東縣,牡丹鄉,551.0,22.076989,120.802439,2026-07-02T10:00:00+08:00,多雲,25.2,100,951.0,28.0,5.1,125.0,25.4,2026-07-02T09:50:00+08:00,23.4,2026-07-02T05:30:00+08:00
大坪頂,C0R730,屏東縣,恆春鎮,163.0,22.024633,120.693550,2026-07-02T10:00:00+08:00,多雲有雨,29.8,98,994.5,3.0,1.1,67.0,29.8,2026-07-02T10:00:00+08:00,25.5,2026-07-02T05:10:00+08:00
龍磐,C0R710,屏東縣,恆春鎮,117.0,21.931672,120.838942,2026-07-02T10:00:00+08:00,多雲,31.0,83,1000.0,4.5,4.4,121.0,31.0,2026-07-02T10:00:00+08:00,25.8,2026-07-02T05:00:00+08:00
獅子,C0R741,屏東縣,獅子鄉,72.0,22.202308,120.705236,2026-07-02T10:00:00+08:00,多雲有雨,27.2,94,1005.8,7.5,1.3,80.0,28.8,2026-07-02T07:50:00+08:00,26.8,2026-07-02T06:00:00+08:00
東澳,C0U760,宜蘭縣,南澳鄉,22.0,24.521958,121.833175,2026-07-02T10:00:00+08:00,晴,32.5,57,1009.6,0.0,1.5,168.0,33.3,2026-07-02T09:50:00+08:00,24.2,2026-07-02T05:00:00+08:00
南澳,C0U770,宜蘭縣,南澳鄉,5.0,24.449347,121.810219,2026-07-02T10:00:00+08:00,晴,31.3,77,1011.3,0.0,2.1,107.0,32.3,2026-07-02T08:30:00+08:00,24.7,2026-07-02T05:10:00+08:00
和中,C0T9D0,花蓮縣,秀林鄉,7.0,24.266761,121.741031,2026-07-02T10:00:00+08:00,晴,30.9,65,1010.5,0.0,2.1,264.0,31.3,2026-07-02T08:40:00+08:00,24.2,2026-07-02T02:10:00+08:00
翠峰湖,C0U960,宜蘭縣,大同鄉,1885.0,24.510856,121.608044,2026-07-02T10:00:00+08:00,晴,24.3,63,816.6,0.0,0.8,201.0,24.4,2026-07-02T09:30:00+08:00,13.4,2026-07-02T05:10:00+08:00
和平林道,C0Z220,花蓮縣,秀林鄉,589.0,24.343922,121.656317,2026-07-02T10:00:00+08:00,晴,29.6,68,947.6,0.0,0.8,10.0,29.9,2026-07-02T09:40:00+08:00,23.2,2026-07-02T01:20:00+08:00
和平,C0Z230,花蓮縣,秀林鄉,31.0,24.307169,121.770069,2026-07-02T10:00:00+08:00,晴,28.3,80,1008.4,0.0,9.6,189.0,28.7,2026-07-02T08:10:00+08:00,26.8,2026-07-02T01:20:00+08:00
樟樹山,C0UA60,宜蘭縣,南澳鄉,566.0,24.413925,121.783247,2026-07-02T10:00:00+08:00,晴,29.5,70,949.3,0.0,0.5,199.0,30.6,2026-07-02T09:20:00+08:00,22.5,2026-07-02T05:10:00+08:00
桃源谷,C0UA70,宜蘭縣,頭城鎮,547.0,24.962606,121.888875,2026-07-02T10:00:00+08:00,晴,29.5,78,952.0,0.0,3.6,94.0,30.5,2026-07-02T09:40:00+08:00,23.3,2026-07-02T04:00:00+08:00
西帽山,C0UA50,宜蘭縣,南澳鄉,808.0,24.555361,121.802628,2026-07-02T10:00:00+08:00,晴,26.0,79,923.7,0.0,2.8,154.0,29.0,2026-07-02T06:30:00+08:00,23.8,2026-07-02T00:40:00+08:00
西德山,C0UA40,宜蘭縣,南澳鄉,1121.0,24.560647,121.752608,2026-07-02T10:00:00+08:00,晴,29.4,71,891.0,0.0,0.7,36.0,31.8,2026-07-02T08:50:00+08:00,22.6,2026-07-02T00:20:00+08:00
福山植物園,C0AH90,新北市,烏來區,660.0,24.760717,121.581350,2026-07-02T10:00:00+08:00,晴,31.6,59,940.2,0.0,0.7,74.0,31.6,2026-07-02T09:30:00+08:00,18.7,2026-07-02T05:20:00+08:00
鴛鴦湖,C0UA10,宜蘭縣,大同鄉,1711.0,24.590269,121.412228,2026-07-02T10:00:00+08:00,晴,24.3,65,834.1,0.0,0.3,153.0,24.3,2026-07-02T10:00:00+08:00,16.1,2026-07-02T05:00:00+08:00
白嶺,C0UA30,宜蘭縣,大同鄉,1397.0,24.527819,121.519031,2026-07-02T10:00:00+08:00,晴,27.2,67,862.5,0.0,0.0,0.0,27.4,2026-07-02T09:40:00+08:00,19.8,2026-07-02T00:30:00+08:00
土場,C0UA00,宜蘭縣,大同鄉,392.0,24.576533,121.495333,2026-07-02T10:00:00+08:00,晴,34.2,53,967.5,0.0,0.6,114.0,34.4,2026-07-02T09:50:00+08:00,23.0,2026-07-02T05:10:00+08:00
員山,C0U990,宜蘭縣,員山鄉,31.0,24.744350,121.722472,2026-07-02T10:00:00+08:00,晴,32.3,68,1007.6,0.0,1.0,52.0,32.3,2026-07-02T08:50:00+08:00,25.2,2026-07-02T05:20:00+08:00
蘆竹,C0C620,桃園市,蘆竹區,19.0,25.084275,121.265767,2026-07-02T10:00:00+08:00,晴,31.1,76,1008.8,0.0,1.5,323.0,31.1,2026-07-02T10:00:00+08:00,26.8,2026-07-02T05:00:00+08:00
橫山,C0D540,新竹縣,橫山鄉,227.0,24.711158,121.116933,2026-07-02T10:00:00+08:00,多雲,28.4,85,987.6,0.5,0.2,0.0,29.7,2026-07-02T08:50:00+08:00,22.6,2026-07-02T04:20:00+08:00
新豐,C0D590,新竹縣,新豐鄉,143.0,24.870678,120.977211,2026-07-02T10:00:00+08:00,晴,29.4,81,997.2,0.0,0.2,0.0,29.4,2026-07-02T10:00:00+08:00,24.7,2026-07-02T05:40:00+08:00
雪霸,C0D550,新竹縣,五峰鄉,1956.0,24.526972,121.116050,2026-07-02T10:00:00+08:00,晴,23.5,72,814.1,0.0,0.0,0.0,24.2,2026-07-02T07:50:00+08:00,17.3,2026-07-02T01:00:00+08:00
竹東,C0D560,新竹縣,竹東鎮,147.0,24.767147,121.057881,2026-07-02T10:00:00+08:00,多雲,32.4,64,996.0,0.0,0.3,305.0,33.5,2026-07-02T09:20:00+08:00,25.2,2026-07-02T04:40:00+08:00
平鎮,C0C650,桃園市,平鎮區,208.0,24.897503,121.214636,2026-07-02T10:00:00+08:00,晴,29.1,76,988.5,0.0,0.0,0.0,29.2,2026-07-02T09:50:00+08:00,25.3,2026-07-02T05:00:00+08:00
大溪,C0C630,桃園市,大溪區,209.0,24.882853,121.265547,2026-07-02T10:00:00+08:00,晴,29.9,72,988.1,0.0,1.3,247.0,30.0,2026-07-02T09:50:00+08:00,25.2,2026-07-02T05:20:00+08:00
頭份,C0E730,苗栗縣,頭份市,26.0,24.688247,120.912206,2026-07-02T10:00:00+08:00,多雲,29.7,79,1007.7,0.0,0.4,49.0,30.4,2026-07-02T09:40:00+08:00,26.0,2026-07-02T05:40:00+08:00
寶山,C0D580,新竹縣,寶山鄉,120.0,24.735006,121.025192,2026-07-02T10:00:00+08:00,多雲,28.5,81,998.3,0.0,0.0,0.0,28.5,2026-07-02T10:00:00+08:00,24.0,2026-07-02T05:40:00+08:00
獅潭,C0E820,苗栗縣,獅潭鄉,220.0,24.539133,120.920042,2026-07-02T10:00:00+08:00,多雲,30.5,74,987.5,0.0,1.6,44.0,31.0,2026-07-02T09:50:00+08:00,23.6,2026-07-02T05:00:00+08:00
楊梅,C0C660,桃園市,楊梅區,176.0,24.912375,121.143047,2026-07-02T10:00:00+08:00,晴,28.9,77,992.5,0.0,1.5,281.0,29.6,2026-07-02T09:50:00+08:00,26.0,2026-07-02T05:10:00+08:00
湖口,C0D650,新竹縣,湖口鄉,97.0,24.904794,121.043628,2026-07-02T10:00:00+08:00,晴,28.8,76,1001.2,0.0,2.2,340.0,29.2,2026-07-02T09:30:00+08:00,26.1,2026-07-02T05:40:00+08:00
龍潭,C0C670,桃園市,龍潭區,250.0,24.870056,121.221389,2026-07-02T10:00:00+08:00,晴,-99,-99,-99,-99,-99,-99,26.9,2026-07-02T00:10:00+08:00,25.9,2026-07-02T02:00:00+08:00
新竹市東區,C0D660,新竹市,東區,65.0,24.798681,120.986942,2026-07-02T10:00:00+08:00,多雲,28.0,73,1004.5,0.0,2.2,280.0,30.3,2026-07-02T09:20:00+08:00,25.4,2026-07-02T04:50:00+08:00
大河,C0E850,苗栗縣,三灣鄉,104.0,24.618069,120.948578,2026-07-02T10:00:00+08:00,多雲,30.0,76,999.5,0.0,0.0,0.0,30.0,2026-07-02T10:00:00+08:00,24.5,2026-07-02T05:00:00+08:00
桃山,C0F9Y0,臺中市,和平區,3313.0,24.432739,121.303808,2026-07-02T10:00:00+08:00,晴,17.6,42,691.7,0.0,2.0,229.0,17.6,2026-07-02T10:00:00+08:00,7.7,2026-07-02T02:20:00+08:00
雪山東峰,C0F9Z0,臺中市,和平區,3193.0,24.388792,121.268675,2026-07-02T10:00:00+08:00,晴,18.7,48,701.3,0.0,1.2,65.0,18.7,2026-07-02T10:00:00+08:00,9.3,2026-07-02T05:30:00+08:00
雪山圈谷,C0F0A0,臺中市,和平區,3587.0,24.388594,121.236339,2026-07-02T10:00:00+08:00,晴,13.5,44,669.5,0.0,2.6,40.0,14.7,2026-07-02T08:50:00+08:00,3.5,2026-07-02T04:50:00+08:00
龜山,C0C680,桃園市,龜山區,228.0,25.028458,121.386561,2026-07-02T10:00:00+08:00,晴,30.8,71,984.5,0.0,0.7,240.0,30.8,2026-07-02T10:00:00+08:00,25.6,2026-07-02T03:50:00+08:00
審馬陣,C0F0D0,臺中市,和平區,3171.0,24.381675,121.420300,2026-07-02T10:00:00+08:00,晴,18.9,46,703.0,0.0,1.7,163.0,19.1,2026-07-02T09:50:00+08:00,8.7,2026-07-02T01:30:00+08:00
南湖圈谷,C0F0E0,臺中市,和平區,3557.0,24.363714,121.444667,2026-07-02T10:00:00+08:00,晴,14.4,43,671.3,0.0,2.2,178.0,15.0,2026-07-02T09:50:00+08:00,7.7,2026-07-02T02:00:00+08:00
苗栗,C0E750,苗栗縣,苗栗市,72.0,24.564569,120.824575,2026-07-02T10:00:00+08:00,多雲,29.4,77,1004.3,0.0,1.6,342.0,31.6,2026-07-02T09:00:00+08:00,26.6,2026-07-02T05:00:00+08:00
銅鑼,C0E780,苗栗縣,銅鑼鄉,160.0,24.489681,120.790853,2026-07-02T10:00:00+08:00,多雲,29.7,81,993.7,0.0,2.1,314.0,30.5,2026-07-02T08:40:00+08:00,26.2,2026-07-02T06:00:00+08:00
西湖,C0E810,苗栗縣,西湖鄉,53.0,24.562947,120.748500,2026-07-02T10:00:00+08:00,陰,29.7,85,1006.6,0.0,1.3,1.0,29.9,2026-07-02T08:10:00+08:00,25.4,2026-07-02T05:30:00+08:00
大安,C0F9K0,臺中市,大安區,30.0,24.345061,120.588025,2026-07-02T10:00:00+08:00,多雲,30.3,77,1007.3,0.0,2.7,360.0,30.3,2026-07-02T10:00:00+08:00,27.3,2026-07-02T00:30:00+08:00
后里,C0F9L0,臺中市,后里區,253.0,24.310436,120.729725,2026-07-02T10:00:00+08:00,多雲,29.3,81,983.6,0.0,1.1,332.0,29.7,2026-07-02T09:40:00+08:00,26.1,2026-07-02T03:00:00+08:00
豐原,C0F9M0,臺中市,豐原區,230.0,24.254322,120.720692,2026-07-02T10:00:00+08:00,多雲,31.3,74,984.5,0.0,1.5,324.0,31.3,2026-07-02T08:10:00+08:00,28.6,2026-07-02T03:20:00+08:00
潭子,C0F9O0,臺中市,潭子區,175.0,24.213106,120.703933,2026-07-02T10:00:00+08:00,晴,30.2,79,990.4,0.0,1.3,295.0,30.8,2026-07-02T09:50:00+08:00,27.0,2026-07-02T03:00:00+08:00
清水,C0F9P0,臺中市,清水區,26.0,24.312297,120.562242,2026-07-02T10:00:00+08:00,多雲,31.9,73,1007.8,0.0,1.5,23.0,31.9,2026-07-02T10:00:00+08:00,27.2,2026-07-02T01:50:00+08:00
外埔,C0F9Q0,臺中市,外埔區,149.0,24.347817,120.705686,2026-07-02T10:00:00+08:00,多雲,31.4,86,994.1,0.0,1.1,340.0,31.5,2026-07-02T09:10:00+08:00,28.3,2026-07-02T03:20:00+08:00
龍井,C0F9R0,臺中市,龍井區,20.0,24.184536,120.528972,2026-07-02T10:00:00+08:00,晴,31.3,74,1009.0,0.0,2.8,326.0,31.7,2026-07-02T09:50:00+08:00,28.3,2026-07-02T02:00:00+08:00
伸港,C0G890,彰化縣,伸港鄉,24.0,24.148933,120.484403,2026-07-02T10:00:00+08:00,晴,31.2,75,1008.4,0.0,2.9,295.0,31.2,2026-07-02T10:00:00+08:00,27.6,2026-07-02T04:10:00+08:00
苑裡,C0E830,苗栗縣,苑裡鎮,37.0,24.439714,120.653053,2026-07-02T10:00:00+08:00,多雲,30.2,76,1007.1,0.0,2.1,331.0,30.2,2026-07-02T09:50:00+08:00,27.1,2026-07-02T02:00:00+08:00
石岡,C0F0B0,臺中市,石岡區,311.0,24.276061,120.777644,2026-07-02T10:00:00+08:00,多雲,29.7,81,974.8,0.0,2.8,307.0,29.9,2026-07-02T08:50:00+08:00,24.5,2026-07-02T05:30:00+08:00
中坑,C0F0C0,臺中市,和平區,983.0,24.248517,120.903319,2026-07-02T10:00:00+08:00,晴,25.9,87,905.6,0.0,1.2,201.0,26.3,2026-07-02T08:50:00+08:00,22.7,2026-07-02T01:00:00+08:00
魚池,C0I370,南投縣,魚池鄉,671.0,23.895703,120.941350,2026-07-02T10:00:00+08:00,晴,29.6,65,938.9,0.0,1.2,337.0,29.6,2026-07-02T10:00:00+08:00,22.9,2026-07-02T05:30:00+08:00
國姓,C0I420,南投縣,國姓鄉,305.0,24.037803,120.855072,2026-07-02T10:00:00+08:00,晴,31.4,67,977.5,0.0,2.9,217.0,31.4,2026-07-02T10:00:00+08:00,24.9,2026-07-02T04:50:00+08:00
仁愛,C0I390,南投縣,仁愛鄉,1184.0,24.022122,121.132206,2026-07-02T10:00:00+08:00,晴,25.7,66,887.4,0.0,1.7,269.0,26.5,2026-07-02T08:50:00+08:00,18.8,2026-07-02T05:00:00+08:00
水里,C0I360,南投縣,水里鄉,300.0,23.812553,120.849792,2026-07-02T10:00:00+08:00,晴,30.1,71,977.1,0.0,3.3,288.0,30.1,2026-07-02T10:00:00+08:00,25.2,2026-07-02T06:00:00+08:00
集集,C0I380,南投縣,集集鎮,258.0,23.828206,120.801467,2026-07-02T10:00:00+08:00,晴,31.2,73,982.0,0.0,1.1,270.0,31.4,2026-07-02T09:20:00+08:00,24.8,2026-07-02T05:30:00+08:00
名間,C0I410,南投縣,名間鄉,180.0,23.837053,120.701447,2026-07-02T10:00:00+08:00,晴,30.8,75,991.1,0.0,0.2,0.0,30.8,2026-07-02T10:00:00+08:00,25.0,2026-07-02T05:20:00+08:00
萬大林道,C0I490,南投縣,仁愛鄉,1601.0,23.928228,121.091411,2026-07-02T10:00:00+08:00,晴,24.2,71,844.2,0.0,1.7,249.0,24.5,2026-07-02T09:40:00+08:00,18.4,2026-07-02T00:30:00+08:00
梅峰,C0I480,南投縣,仁愛鄉,2165.0,24.085272,121.173572,2026-07-02T10:00:00+08:00,晴,22.3,67,791.9,0.0,1.3,5.0,23.8,2026-07-02T09:30:00+08:00,12.7,2026-07-02T05:20:00+08:00
玉山風口,C0I520,南投縣,信義鄉,3860.0,23.470489,120.955994,2026-07-02T10:00:00+08:00,-99,10.7,64,647.5,-99,0.7,282.0,10.7,2026-07-02T10:00:00+08:00,5.0,2026-07-02T01:00:00+08:00
小奇萊,C0I530,南投縣,仁愛鄉,3014.0,24.131764,121.295717,2026-07-02T10:00:00+08:00,晴,17.1,47,707.1,0.0,3.0,189.0,17.1,2026-07-02T10:00:00+08:00,10.0,2026-07-02T02:10:00+08:00
奇萊稜線,C0I540,南投縣,仁愛鄉,3344.0,24.109231,121.326456,2026-07-02T10:00:00+08:00,晴,14.1,57,688.2,-99,2.5,257.0,14.1,2026-07-02T10:00:00+08:00,8.5,2026-07-02T02:20:00+08:00
大里,C0F9N0,臺中市,大里區,75.0,24.092464,120.701378,2026-07-02T10:00:00+08:00,晴,30.9,74,1003.1,0.0,1.9,247.0,31.6,2026-07-02T09:20:00+08:00,28.2,2026-07-02T04:00:00+08:00
烏日,C0F9S0,臺中市,烏日區,43.0,24.107058,120.624103,2026-07-02T10:00:00+08:00,晴,32.2,69,1005.7,0.0,2.0,242.0,32.4,2026-07-02T09:20:00+08:00,27.7,2026-07-02T05:10:00+08:00
西屯,C0F9T0,臺中市,西屯區,111.0,24.179494,120.641275,2026-07-02T10:00:00+08:00,晴,30.3,76,998.5,0.0,1.6,295.0,31.2,2026-07-02T09:30:00+08:00,27.2,2026-07-02T02:30:00+08:00
南屯,C0F9U0,臺中市,南屯區,74.0,24.137006,120.637969,2026-07-02T10:00:00+08:00,晴,32.0,68,1002.8,0.0,2.5,276.0,33.1,2026-07-02T09:50:00+08:00,27.7,2026-07-02T05:40:00+08:00
福興,C0G770,彰化縣,福興鄉,15.0,24.041289,120.437669,2026-07-02T10:00:00+08:00,晴,32.0,72,1008.9,0.0,1.3,324.0,32.0,2026-07-02T10:00:00+08:00,28.5,2026-07-02T02:10:00+08:00
秀水,C0G780,彰化縣,秀水鄉,27.0,24.034050,120.503869,2026-07-02T10:00:00+08:00,晴,31.9,75,1008.6,0.0,4.6,309.0,31.9,2026-07-02T10:00:00+08:00,29.1,2026-07-02T03:20:00+08:00
埔鹽,C0G800,彰化縣,埔鹽鄉,15.0,24.000394,120.431683,2026-07-02T10:00:00+08:00,晴,31.7,78,1010.3,0.0,1.5,334.0,32.1,2026-07-02T09:00:00+08:00,28.3,2026-07-02T02:50:00+08:00
埔心,C0G810,彰化縣,埔心鄉,26.0,23.947633,120.525456,2026-07-02T10:00:00+08:00,晴,32.1,76,1007.0,0.0,1.2,299.0,33.3,2026-07-02T09:40:00+08:00,29.1,2026-07-02T06:20:00+08:00
田尾,C0G820,彰化縣,田尾鄉,29.0,23.901669,120.509389,2026-07-02T10:00:00+08:00,晴,33.2,81,1006.9,0.0,1.1,283.0,33.4,2026-07-02T09:20:00+08:00,28.6,2026-07-02T04:00:00+08:00
埤頭,C0G830,彰化縣,埤頭鄉,27.0,23.866003,120.452806,2026-07-02T10:00:00+08:00,晴,32.9,80,1007.8,0.0,1.3,282.0,33.1,2026-07-02T09:40:00+08:00,28.7,2026-07-02T03:20:00+08:00
社頭,C0G860,彰化縣,社頭鄉,45.0,23.897647,120.586200,2026-07-02T10:00:00+08:00,晴,32.2,79,1006.5,0.0,1.6,270.0,32.5,2026-07-02T09:50:00+08:00,27.9,2026-07-02T05:20:00+08:00
二水,C0G880,彰化縣,二水鄉,92.0,23.810742,120.617300,2026-07-02T10:00:00+08:00,多雲,32.7,76,1000.9,0.0,1.3,236.0,33.3,2026-07-02T09:50:00+08:00,28.1,2026-07-02T04:50:00+08:00
造橋,C0E740,苗栗縣,造橋鄉,27.0,24.637056,120.864778,2026-07-02T10:00:00+08:00,多雲,30.6,78,1008.9,0.0,0.6,336.0,32.0,2026-07-02T09:30:00+08:00,25.6,2026-07-02T05:10:00+08:00
梅花,C0D360,新竹縣,尖石鄉,523.0,24.678347,121.208558,2026-07-02T10:00:00+08:00,晴,29.1,75,952.9,0.0,0.3,355.0,29.1,2026-07-02T10:00:00+08:00,21.1,2026-07-02T04:50:00+08:00
坪林,C0A530,新北市,坪林區,300.0,24.938183,121.709750,2026-07-02T10:00:00+08:00,晴,33.2,75,976.0,0.0,0.4,85.0,33.2,2026-07-02T10:00:00+08:00,20.9,2026-07-02T05:00:00+08:00
泰平,C0A550,新北市,雙溪區,422.0,24.971197,121.823711,2026-07-02T10:00:00+08:00,晴,-99,-99,-99,0.0,-99,-99,30.9,2026-07-02T09:50:00+08:00,21.5,2026-07-02T05:10:00+08:00
五指山,C0A870,新北市,汐止區,685.0,25.132153,121.608692,2026-07-02T10:00:00+08:00,晴,28.8,85,932.9,0.0,0.6,35.0,29.5,2026-07-02T08:00:00+08:00,25.5,2026-07-02T04:10:00+08:00
汐止,C0AH00,新北市,汐止區,38.0,25.066881,121.658778,2026-07-02T10:00:00+08:00,晴,32.3,78,1005.6,0.0,2.8,67.0,32.3,2026-07-02T10:00:00+08:00,27.1,2026-07-02T05:40:00+08:00
三峽,C0AC60,新北市,三峽區,55.0,24.939025,121.369728,2026-07-02T10:00:00+08:00,晴,32.5,72,1006.0,0.0,0.4,306.0,32.8,2026-07-02T09:10:00+08:00,26.9,2026-07-02T05:30:00+08:00
信義,C0AC70,臺北市,信義區,71.0,25.037822,121.564597,2026-07-02T10:00:00+08:00,晴,33.2,62,1003.0,0.0,0.1,0.0,33.2,2026-07-02T10:00:00+08:00,26.9,2026-07-02T05:20:00+08:00
文山,C0AC80,臺北市,文山區,40.0,25.002350,121.575728,2026-07-02T10:00:00+08:00,晴,32.0,72,1005.3,0.0,0.6,109.0,32.1,2026-07-02T09:30:00+08:00,25.2,2026-07-02T05:20:00+08:00
新莊,C0ACA0,新北市,新莊區,25.0,25.051478,121.446756,2026-07-02T10:00:00+08:00,晴,32.0,70,1007.7,0.0,1.6,53.0,32.2,2026-07-02T09:50:00+08:00,27.7,2026-07-02T04:30:00+08:00
山佳,C0A520,新北市,樹林區,48.0,24.974944,121.402008,2026-07-02T10:00:00+08:00,晴,32.6,74,1005.4,0.0,0.8,191.0,32.6,2026-07-02T10:00:00+08:00,27.1,2026-07-02T04:50:00+08:00
桶後,C0A570,新北市,烏來區,360.0,24.848222,121.597992,2026-07-02T10:00:00+08:00,晴,30.1,72,970.4,0.0,0.2,0.0,31.1,2026-07-02T09:40:00+08:00,21.3,2026-07-02T05:50:00+08:00
雙溪,C0A890,新北市,雙溪區,40.0,25.036003,121.864242,2026-07-02T10:00:00+08:00,晴,-99,-99,-99,0.0,-99,-99,31.6,2026-07-02T09:50:00+08:00,25.3,2026-07-02T06:00:00+08:00
多加屯,C0UA20,宜蘭縣,大同鄉,2619.0,24.368614,121.373189,2026-07-02T10:00:00+08:00,晴,-99,-99,742.3,0.0,0.9,318.0,-99,-99,-99,-99
鼻頭角,C0A950,新北市,瑞芳區,60.0,25.129036,121.923372,2026-07-02T10:00:00+08:00,多雲,30.8,82,1005.2,0.0,0.5,33.0,30.9,2026-07-02T09:50:00+08:00,27.3,2026-07-02T03:10:00+08:00
大坪,C0A860,新北市,萬里區,362.0,25.165914,121.632969,2026-07-02T10:00:00+08:00,晴,31.7,70,971.5,0.0,0.9,52.0,31.7,2026-07-02T10:00:00+08:00,23.1,2026-07-02T04:50:00+08:00
三和,C0A931,新北市,金山區,216.0,25.233153,121.595236,2026-07-02T10:00:00+08:00,晴,29.6,86,985.1,0.0,1.0,138.0,29.9,2026-07-02T06:50:00+08:00,22.5,2026-07-02T05:30:00+08:00
金山,C0A940,新北市,金山區,49.0,25.223628,121.643967,2026-07-02T10:00:00+08:00,晴,30.0,76,1007.5,0.0,0.3,110.0,30.0,2026-07-02T10:00:00+08:00,24.7,2026-07-02T04:50:00+08:00
石碇,C0A640,新北市,石碇區,241.0,24.993969,121.662917,2026-07-02T10:00:00+08:00,晴,29.0,77,986.5,0.0,1.8,301.0,29.0,2026-07-02T10:00:00+08:00,23.2,2026-07-02T05:30:00+08:00
復興,C0C460,桃園市,復興區,482.0,24.820208,121.352281,2026-07-02T10:00:00+08:00,晴,27.1,84,959.8,0.0,0.5,264.0,27.1,2026-07-02T10:00:00+08:00,24.5,2026-07-02T07:20:00+08:00
八德,C0C490,桃園市,八德區,157.0,24.928708,121.283289,2026-07-02T10:00:00+08:00,晴,29.8,74,993.9,0.0,1.7,319.0,30.2,2026-07-02T09:20:00+08:00,26.4,2026-07-02T05:50:00+08:00
內湖,C0A9F0,臺北市,內湖區,35.0,25.079422,121.575450,2026-07-02T10:00:00+08:00,晴,32.3,71,1007.1,0.0,0.8,151.0,32.3,2026-07-02T10:00:00+08:00,29.1,2026-07-02T05:40:00+08:00
中和,C0AG80,新北市,中和區,48.0,24.991622,121.491792,2026-07-02T10:00:00+08:00,晴,32.3,62,1006.3,0.0,1.9,255.0,32.3,2026-07-02T09:20:00+08:00,26.9,2026-07-02T04:50:00+08:00
暖暖,C0B060,基隆市,暖暖區,83.0,25.095742,121.740300,2026-07-02T10:00:00+08:00,晴,32.1,76,1001.3,0.0,2.2,112.0,32.1,2026-07-02T10:00:00+08:00,25.6,2026-07-02T04:30:00+08:00
天母,C0A9C0,臺北市,士林區,35.0,25.117494,121.537169,2026-07-02T10:00:00+08:00,晴,32.7,69,1008.3,0.0,1.3,222.0,33.4,2026-07-02T09:50:00+08:00,26.6,2026-07-02T05:10:00+08:00
社子,C0A980,臺北市,士林區,11.0,25.109508,121.469681,2026-07-02T10:00:00+08:00,晴,32.6,70,1011.0,0.0,1.7,341.0,33.1,2026-07-02T07:50:00+08:00,26.8,2026-07-02T05:20:00+08:00
大屯山,C0AC40,臺北市,北投區,1079.0,25.175675,121.522408,2026-07-02T10:00:00+08:00,晴,27.4,95,895.5,0.0,1.5,14.0,28.3,2026-07-02T08:00:00+08:00,24.4,2026-07-02T01:40:00+08:00
八里,C0AD10,新北市,八里區,27.0,25.150211,121.403947,2026-07-02T10:00:00+08:00,晴,29.4,85,1007.6,0.0,2.3,276.0,30.0,2026-07-02T06:40:00+08:00,27.9,2026-07-02T04:50:00+08:00
蘆洲,C0AD30,新北市,蘆洲區,20.0,25.086594,121.472331,2026-07-02T10:00:00+08:00,晴,32.3,71,1007.5,0.0,0.9,316.0,32.4,2026-07-02T09:40:00+08:00,28.4,2026-07-02T05:50:00+08:00
土城,C0AD40,新北市,土城區,32.0,24.973208,121.445169,2026-07-02T10:00:00+08:00,晴,30.7,70,1006.6,0.0,0.1,0.0,30.7,2026-07-02T10:00:00+08:00,24.6,2026-07-02T05:30:00+08:00
鶯歌,C0AD50,新北市,鶯歌區,84.0,24.951533,121.346294,2026-07-02T10:00:00+08:00,晴,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
永和,C0AH10,新北市,永和區,30.0,25.011250,121.508111,2026-07-02T10:00:00+08:00,晴,-99,-99,-99,0.0,-99,-99,30.9,2026-07-02T09:10:00+08:00,27.6,2026-07-02T06:00:00+08:00
五分山,C0AH30,新北市,瑞芳區,755.0,25.071250,121.780794,2026-07-02T10:00:00+08:00,晴,28.8,82,927.3,0.0,0.7,354.0,30.2,2026-07-02T07:30:00+08:00,24.7,2026-07-02T03:30:00+08:00
平等,C0AH40,臺北市,士林區,426.0,25.129142,121.577086,2026-07-02T10:00:00+08:00,晴,30.0,87,962.8,0.0,1.7,124.0,30.0,2026-07-02T10:00:00+08:00,24.4,2026-07-02T03:30:00+08:00
林口,C0AH50,新北市,林口區,275.0,25.072181,121.380839,2026-07-02T10:00:00+08:00,晴,29.2,88,980.9,0.0,1.9,309.0,29.2,2026-07-02T10:00:00+08:00,26.8,2026-07-02T04:50:00+08:00
深坑,C0AH80,新北市,深坑區,68.0,25.002703,121.628328,2026-07-02T10:00:00+08:00,晴,32.1,75,1001.0,0.0,1.3,316.0,32.1,2026-07-02T10:00:00+08:00,25.0,2026-07-02T05:10:00+08:00
七堵,C0B010,基隆市,七堵區,38.0,25.094819,121.717128,2026-07-02T10:00:00+08:00,晴,30.9,81,1006.3,0.0,4.3,48.0,31.2,2026-07-02T09:00:00+08:00,27.1,2026-07-02T05:00:00+08:00
五股,C0AI00,新北市,五股區,188.0,25.074453,121.427281,2026-07-02T10:00:00+08:00,晴,32.8,76,991.1,0.0,1.4,341.0,32.8,2026-07-02T10:00:00+08:00,26.7,2026-07-02T03:40:00+08:00
屈尺,C0AI10,新北市,新店區,76.0,24.921836,121.544725,2026-07-02T10:00:00+08:00,晴,33.5,67,1001.6,0.0,1.5,28.0,33.5,2026-07-02T10:00:00+08:00,27.0,2026-07-02T05:40:00+08:00
